type,field,n_sampled,n_with_abstract,coverage,ci_low,ci_high
report,cs,63,55,0.873015873015873,0.7689296552173035,0.9342267514386327
preprint,cs,164,133,0.8109756097560976,0.7441994269930745,0.8635169305545987
dissertation,cs,171,107,0.6257309941520468,0.551183587577847,0.694753504745879
dataset,cs,254,156,0.6141732283464567,0.5530305135710512,0.6719139164879406
other,cs,142,71,0.5,0.418852042057412,0.581147957942588
article,cs,8676,3946,0.45481788842784693,0.44436219683125644,0.4653135727413228
review,cs,63,25,0.3968253968253968,0.2853191151904645,0.5201908148834254
book,cs,212,74,0.3490566037735849,0.2880946489031257,0.4153914174453848
paratext,cs,244,45,0.18442622950819673,0.14078630607299766,0.23784872644827884
book-chapter,cs,808,148,0.18316831683168316,0.15801780232290588,0.21131718982722772
libguides,cs,68,12,0.17647058823529413,0.10393587249437691,0.2836044040774335
report,physics,100,87,0.87,0.7901964855992357,0.9224283257275948
preprint,physics,277,240,0.8664259927797834,0.8213121476666151,0.9015156030950958
dissertation,physics,315,251,0.7968253968253968,0.7489397646947704,0.8375586182058126
other,physics,59,41,0.6949152542372882,0.5685367346805482,0.7974636801988394
dataset,physics,72,47,0.6527777777777778,0.5376130384560558,0.7524657699172488
article,physics,9219,5530,0.5998481397114654,0.5898076438046822,0.6098054589706314
review,physics,59,33,0.559322033898305,0.43289354829158677,0.678497882323879
paratext,physics,65,28,0.4307692307692308,0.3175945741563928,0.5516702532575414
book,physics,119,44,0.3697478991596639,0.28835784646379276,0.4592843559521748
book-chapter,physics,620,133,0.21451612903225806,0.1840147339441468,0.24853339988908807
