year,field,n_sampled,n_with_abstract,coverage,ci_low,ci_high
1970,cs,200,65,0.325,0.2639157153923429,0.3926801488397004
1970,physics,200,85,0.425,0.3585361254351385,0.49429067352145145
1971,cs,200,59,0.295,0.23613943856849146,0.3615871452461878
1971,physics,200,89,0.445,0.3778060100295335,0.5142669758719658
1972,cs,200,49,0.245,0.1905686808903718,0.30904243556203415
1972,physics,200,82,0.41,0.34415674908482885,0.4792354096630791
1973,cs,200,70,0.35,0.28728824127358077,0.4183653566395992
1973,physics,200,93,0.465,0.3971856415700402,0.5341335312763685
1974,cs,200,69,0.345,0.2825979437674894,0.4132441074094632
1974,physics,200,93,0.465,0.3971856415700402,0.5341335312763685
1975,cs,200,52,0.26,0.20413830063574684,0.32490745602534116
1975,physics,200,99,0.495,0.4264584535990475,0.5637299996647251
1976,cs,200,60,0.3,0.24074744682371402,0.36679068372719265
1976,physics,200,97,0.485,0.4166738517187752,0.5538915080725428
1977,cs,200,73,0.365,0.301405264649268,0.433682973472594
1977,physics,200,92,0.46,0.39233051799971463,0.5291771081104667
1978,cs,200,66,0.33,0.26857425870603957,0.39783315226223115
1978,physics,200,100,0.5,0.43136085960389187,0.5686391403961082
1979,cs,200,66,0.33,0.26857425870603957,0.39783315226223115
1979,physics,200,109,0.545,0.47578611372488105,0.6125178069011651
1980,cs,200,64,0.32,0.25926533315468053,0.38751898434113546
1980,physics,200,90,0.45,0.3826406840224836,0.5192438486152432
1981,cs,200,80,0.4,0.33460578566807336,0.46916327960737997
1981,physics,200,106,0.53,0.4609168291500183,0.5979524512673458
1982,cs,200,68,0.34,0.27791545970908793,0.4081150447316374
1982,physics,200,94,0.47,0.40204754873265425,0.5390831708499817
1983,cs,200,71,0.355,0.2919862754043116,0.42347886924509565
1983,physics,200,87,0.435,0.36815725502699076,0.504292637402054
1984,cs,200,68,0.34,0.27791545970908793,0.4081150447316374
1984,physics,200,107,0.535,0.4658664687236316,0.6028143584299599
1985,cs,200,76,0.38,0.31559005848673627,0.44893281984380773
1985,physics,200,95,0.475,0.4069162264657108,0.5440260398531525
1986,cs,200,71,0.355,0.2919862754043116,0.42347886924509565
1986,physics,200,105,0.525,0.4559739601468475,0.5930837735342891
1987,cs,200,71,0.355,0.2919862754043116,0.42347886924509565
1987,physics,200,102,0.51,0.44118587678458643,0.5784372166878682
1988,cs,200,60,0.3,0.24074744682371402,0.36679068372719265
1988,physics,200,101,0.505,0.43627000033527485,0.5735415464009526
1989,cs,200,62,0.31,0.2499894483607809,0.37717177566258037
1989,physics,200,101,0.505,0.43627000033527485,0.5735415464009526
1990,cs,200,53,0.265,0.2086815414710911,0.3301757619262242
1990,physics,200,97,0.485,0.4166738517187752,0.5538915080725428
1991,cs,200,84,0.42,0.35373599161616726,0.4892792606041954
1991,physics,200,112,0.56,0.4907167533465867,0.6270218074881414
1992,cs,200,69,0.345,0.2825979437674894,0.4132441074094632
1992,physics,200,119,0.595,0.525797100813387,0.6606222871749323
1993,cs,200,82,0.41,0.34415674908482885,0.4792354096630791
1993,physics,200,117,0.585,0.5157391490134403,0.6510571455024242
1994,cs,200,88,0.44,0.37297819251185865,0.5092832466534134
1994,physics,200,109,0.545,0.47578611372488105,0.6125178069011651
1995,cs,200,79,0.395,0.32984101013207967,0.46411650840714636
1995,physics,200,112,0.56,0.4907167533465867,0.6270218074881414
