year,field,n,n_field_tag_loose,rate_field_tag_loose,ci_low_loose,ci_high_loose,n_field_tag_strict,rate_field_tag_strict,n_any_tag_loose,rate_any_tag_loose
1970,cs,253,228,0.9011857707509882,0.8582005118737382,0.9321703298590917,145,0.5731225296442688,253,1.0
1970,physics,419,397,0.9474940334128878,0.9217839426998669,0.9650732757145146,361,0.8615751789976134,417,0.9952267303102625
1971,cs,258,230,0.8914728682170543,0.8476194485602775,0.9238397424699984,153,0.5930232558139535,258,1.0
1971,physics,426,414,0.971830985915493,0.9514144695102811,0.9838140705726615,386,0.9061032863849765,426,1.0
1972,cs,281,247,0.8790035587188612,0.8356759804225593,0.9121084217563458,156,0.5551601423487544,281,1.0
1972,physics,427,413,0.9672131147540983,0.945723893510153,0.9803708260930833,391,0.9156908665105387,425,0.9953161592505855
1973,cs,284,242,0.852112676056338,0.8061355237448863,0.888691416124768,150,0.528169014084507,284,1.0
1973,physics,454,441,0.9713656387665198,0.9516305025029423,0.9831909116661466,414,0.9118942731277533,454,1.0
1974,cs,302,248,0.8211920529801324,0.7740234087165754,0.8602921636327459,155,0.5132450331125827,302,1.0
1974,physics,481,468,0.972972972972973,0.954312664872962,0.9841384343930145,436,0.9064449064449065,481,1.0
1975,cs,386,341,0.883419689119171,0.8475615887251673,0.9117214308270039,225,0.582901554404145,386,1.0
1975,physics,476,467,0.9810924369747899,0.9644605166317526,0.990021409806255,448,0.9411764705882353,475,0.9978991596638656
1976,cs,424,354,0.8349056603773585,0.7965907189293571,0.8672065689324131,230,0.5424528301886793,424,1.0
1976,physics,444,433,0.9752252252252253,0.9561868308364402,0.9861109213887721,414,0.9324324324324325,444,1.0
1977,cs,434,376,0.8663594470046083,0.831111581043277,0.895178708726263,247,0.5691244239631337,434,1.0
1977,physics,433,415,0.9584295612009238,0.9352511093557352,0.9735454162115704,389,0.8983833718244804,433,1.0
1978,cs,426,373,0.8755868544600939,0.8408486496887911,0.9036118797304665,235,0.5516431924882629,426,1.0
1978,physics,481,457,0.9501039501039501,0.9268317565489537,0.9662436851700964,422,0.8773388773388774,481,1.0
1979,cs,488,416,0.8524590163934426,0.8182433862022054,0.8811689830291747,294,0.6024590163934426,488,1.0
1979,physics,484,473,0.9772727272727273,0.959766013737523,0.9872629680075644,433,0.8946280991735537,484,1.0
1980,cs,529,453,0.8563327032136105,0.823871483914065,0.8836560437569073,319,0.6030245746691871,529,1.0
1980,physics,479,461,0.9624217118997912,0.9413855534546828,0.9760998693629767,416,0.8684759916492694,479,1.0
1981,cs,511,446,0.87279843444227,0.8411011441010489,0.8989324982414423,327,0.639921722113503,511,1.0
1981,physics,480,460,0.9583333333333334,0.9365210511420765,0.9728677413612521,420,0.875,480,1.0
1982,cs,530,470,0.8867924528301887,0.8569878035885776,0.9110304782918304,329,0.620754716981132,530,1.0
1982,physics,476,452,0.9495798319327731,0.9260746062307055,0.965886670003939,400,0.8403361344537815,475,0.9978991596638656
1983,cs,528,453,0.8579545454545454,0.8255876262438632,0.8851504964255835,307,0.5814393939393939,528,1.0
1983,physics,476,455,0.9558823529411765,0.9334995810315345,0.9709658252437829,422,0.8865546218487395,476,1.0
1984,cs,534,478,0.8951310861423221,0.8662622582106904,0.9183555749427902,318,0.5955056179775281,534,1.0
1984,physics,472,448,0.9491525423728814,0.9254575115844423,0.965595573724316,405,0.8580508474576272,472,1.0
1985,cs,527,457,0.8671726755218216,0.8355225802815973,0.893508646593091,314,0.5958254269449715,527,1.0
1985,physics,474,451,0.9514767932489452,0.9282428881770549,0.9674516818510416,412,0.869198312236287,472,0.9957805907172996
1986,cs,511,435,0.8512720156555773,0.8178038579481117,0.879498182999275,271,0.5303326810176126,511,1.0
1986,physics,476,453,0.9516806722689075,0.928539971338022,0.9675893482435134,412,0.865546218487395,475,0.9978991596638656
1987,cs,561,479,0.8538324420677362,0.8221930658918944,0.880659024372297,332,0.5918003565062389,561,1.0
1987,physics,482,454,0.941908713692946,0.9173233110881841,0.9595059348844629,406,0.8423236514522822,480,0.995850622406639
1988,cs,572,494,0.8636363636363636,0.8330765115677343,0.8893445535149282,319,0.5576923076923077,572,1.0
1988,physics,478,456,0.9539748953974896,0.9312992591478825,0.9694119437905572,414,0.8661087866108786,478,1.0
1989,cs,564,476,0.8439716312056738,0.811707113977483,0.8715821985109131,329,0.5833333333333334,564,1.0
1989,physics,476,445,0.9348739495798319,0.9090420098108122,0.9537429629955966,405,0.8508403361344538,475,0.9978991596638656
1990,cs,548,475,0.8667883211678832,0.8357692921339508,0.892700802989183,308,0.5620437956204379,548,1.0
1990,physics,522,496,0.9501915708812261,0.9280199426264893,0.9657855801523157,463,0.8869731800766284,522,1.0
1991,cs,554,463,0.8357400722021661,0.80259487465131,0.8642612618331086,314,0.5667870036101083,554,1.0
1991,physics,527,505,0.9582542694497154,0.9376037097646782,0.9722724726138087,462,0.8766603415559773,527,1.0
1992,cs,556,458,0.8237410071942446,0.7898779217486696,0.8531612714513837,313,0.5629496402877698,556,1.0
1992,physics,535,518,0.9682242990654205,0.9497048231900668,0.9800677319813303,477,0.891588785046729,535,1.0
1993,cs,564,494,0.875886524822695,0.8461060429430394,0.9005812469927337,334,0.5921985815602837,564,1.0
1993,physics,584,557,0.9537671232876712,0.933569581897136,0.9680340597773837,480,0.821917808219178,583,0.9982876712328768
1994,cs,597,495,0.8291457286432161,0.796872713880857,0.8572099800320491,332,0.5561139028475712,597,1.0
1994,physics,583,553,0.9485420240137221,0.9274914814262291,0.9637202626298423,498,0.8542024013722127,583,1.0
1995,cs,581,477,0.8209982788296041,0.7877492762906535,0.8500304063469921,332,0.5714285714285714,581,1.0
1995,physics,578,549,0.9498269896193772,0.9288722816786614,0.9648419631844709,480,0.8304498269896193,577,0.9982698961937716
1996,cs,556,463,0.8327338129496403,0.7994512576978742,0.8614501353132918,322,0.579136690647482,556,1.0
1996,physics,578,540,0.9342560553633218,0.9110483689708765,0.9517296135700705,470,0.8131487889273357,577,0.9982698961937716
1997,cs,570,480,0.8421052631578947,0.8098928174442876,0.8697374079519251,334,0.5859649122807018,570,1.0
1997,physics,580,550,0.9482758620689655,0.9271213763029333,0.9635313722195029,474,0.8172413793103448,579,0.9982758620689656
1998,cs,565,482,0.8530973451327434,0.8215237414715607,0.8799019261075841,350,0.6194690265486725,565,1.0
1998,physics,588,551,0.9370748299319728,0.9144698727838869,0.9540059535365581,482,0.8197278911564626,588,1.0
1999,cs,564,464,0.8226950354609929,0.7890228718074874,0.8520011223826573,328,0.5815602836879432,564,1.0
1999,physics,600,558,0.93,0.9067308408225561,0.9477980963056616,499,0.8316666666666667,600,1.0
2000,cs,561,476,0.8484848484848485,0.8164511093867713,0.8757785311505052,326,0.5811051693404634,560,0.9982174688057041
2000,physics,583,541,0.9279588336192109,0.9040516020900169,0.9462632359290646,458,0.7855917667238422,583,1.0
2001,cs,557,471,0.8456014362657092,0.8132364863718905,0.8732320225888349,330,0.59245960502693,557,1.0
2001,physics,584,533,0.9126712328767124,0.8869937020371741,0.9329552702026722,458,0.7842465753424658,584,1.0
