year,field,n_sampled,concept_coverage,mean_concepts_per_paper,median_concepts_per_paper,mean_concepts_l1_per_paper,mean_max_score,mean_mean_score
1970,cs,200,1.0,7.775,7.0,2.52,0.5826639583706856,0.3439796894013517
1970,physics,200,1.0,11.43,11.0,3.76,0.7333551962673664,0.3673716212149117
1971,cs,200,1.0,7.455,7.0,2.43,0.5548044767975807,0.34323293539831295
1971,physics,200,1.0,12.475,12.0,4.08,0.7501688146591187,0.3723152070326157
1972,cs,200,1.0,7.26,7.0,2.25,0.5546227842569351,0.3387658670227151
1972,physics,200,1.0,12.3,11.5,4.155,0.7351238927245141,0.3723178198628761
1973,cs,200,1.0,7.92,7.0,2.61,0.5935836236178875,0.3470616760764467
1973,physics,200,1.0,12.835,13.0,4.28,0.7456935216486454,0.37304294255531806
1974,cs,200,1.0,7.985,8.0,2.525,0.5817261873930692,0.34428165526818444
1974,physics,200,1.0,12.68,13.0,4.0,0.7399819782376289,0.3780499807477514
1975,cs,200,1.0,7.885,8.0,2.59,0.5770485205203295,0.34317688759908527
1975,physics,200,1.0,12.66,13.0,4.22,0.7260848313570023,0.3675202395459883
1976,cs,200,1.0,7.49,6.0,2.275,0.5491651730984449,0.33657427008730567
1976,physics,200,1.0,12.8,13.0,4.115,0.7393318870663643,0.37790718676425444
1977,cs,200,1.0,8.35,8.0,2.765,0.5859710857272148,0.35009737254746914
1977,physics,200,1.0,12.985,13.0,4.19,0.74551902115345,0.3624425421955776
1978,cs,200,1.0,8.01,7.0,2.62,0.5902495594322681,0.34767032212673143
1978,physics,200,1.0,13.94,14.0,4.545,0.7601466077566147,0.36934530748742
1979,cs,200,1.0,7.935,7.5,2.625,0.5744009162485599,0.3433894266352074
1979,physics,200,1.0,13.645,13.0,4.535,0.7588564436137676,0.3696379093321901
1980,cs,200,1.0,8.015,8.0,2.535,0.5707672762870789,0.3396035156762896
1980,physics,200,1.0,13.35,13.0,4.505,0.759568258523941,0.370591107410778
1981,cs,200,1.0,8.805,7.0,2.765,0.60230603761971,0.3524373840039757
1981,physics,200,1.0,13.46,14.0,4.295,0.7538787066936493,0.3713327942346726
1982,cs,200,1.0,8.96,7.0,2.805,0.5976648010313511,0.3463436402596309
1982,physics,200,1.0,13.52,14.0,4.345,0.774146867543459,0.3782453936658634
1983,cs,200,1.0,8.285,8.0,2.695,0.6045892544835806,0.3526914008262324
1983,physics,200,1.0,13.93,14.0,4.54,0.7651052805781364,0.3759300816808404
1984,cs,200,1.0,8.325,8.0,2.645,0.5905797457695008,0.3446954092426519
1984,physics,200,1.0,13.565,13.5,4.42,0.7570206709206104,0.3776712045689027
1985,cs,200,1.0,7.935,6.0,2.56,0.5772228430211545,0.3417339678230297
1985,physics,200,1.0,12.905,12.5,4.15,0.7483405770361423,0.3690710307902043
1986,cs,200,1.0,8.33,7.0,2.79,0.6144696588814259,0.3593135798680288
1986,physics,200,1.0,14.145,14.0,4.685,0.7683623994886876,0.3774041045814267
1987,cs,200,1.0,8.225,8.0,2.735,0.6177574495971203,0.3591246334043202
1987,physics,200,1.0,13.28,13.5,4.11,0.7628353802859783,0.3755085274032696
1988,cs,200,1.0,8.525,8.0,2.82,0.5767376367747784,0.341758496054938
1988,physics,200,1.0,13.87,14.0,4.5,0.7653070661425591,0.3776000526010017
1989,cs,200,1.0,7.595,6.0,2.41,0.5918342324346304,0.3543629195811481
1989,physics,200,1.0,13.89,14.0,4.425,0.7652528673410416,0.3743882528846869
1990,cs,200,1.0,8.26,7.0,2.61,0.5707802631705999,0.3423691074562277
1990,physics,200,1.0,13.875,14.5,4.34,0.7531982001662254,0.37071193036465944
1991,cs,200,1.0,8.705,7.0,2.965,0.6025967960059643,0.3568784802461989
1991,physics,200,1.0,14.16,14.0,4.58,0.7660518474876881,0.3789354347296053
1992,cs,200,1.0,7.64,5.0,2.405,0.5774741927534341,0.3469624389929847
