field,year,name_region,n_unique_authors,gender_coverage
cs,1975,anglo_other,34,0.5882352941176471
cs,1975,east_asian,1,0.0
cs,1990,anglo_other,26,0.7307692307692307
cs,1990,east_asian,1,0.0
cs,1990,slavic,1,1.0
cs,1990,south_asian,1,0.0
cs,2005,anglo_other,88,0.4772727272727273
cs,2005,arabic,1,1.0
cs,2005,east_asian,23,0.0
cs,2005,south_asian,1,0.0
cs,2015,anglo_other,114,0.6052631578947368
cs,2015,east_asian,22,0.09090909090909091
cs,2015,slavic,2,0.0
cs,2015,south_asian,3,0.0
cs,2024,anglo_other,232,0.4525862068965517
cs,2024,arabic,2,1.0
cs,2024,east_asian,44,0.11363636363636363
cs,2024,slavic,13,0.46153846153846156
cs,2024,south_asian,4,0.75
physics,1975,anglo_other,48,0.22916666666666666
physics,1975,east_asian,1,0.0
physics,1990,anglo_other,58,0.29310344827586204
physics,1990,east_asian,6,0.0
physics,1990,slavic,4,0.25
physics,2005,anglo_other,117,0.3333333333333333
physics,2005,east_asian,8,0.125
physics,2005,slavic,6,0.3333333333333333
physics,2005,south_asian,1,0.0
physics,2015,anglo_other,142,0.4859154929577465
physics,2015,arabic,1,0.0
physics,2015,east_asian,9,0.1111111111111111
physics,2015,slavic,10,0.5
physics,2015,south_asian,3,0.0
physics,2024,anglo_other,189,0.2698412698412698
physics,2024,east_asian,28,0.0
physics,2024,slavic,6,0.3333333333333333
physics,2024,south_asian,1,0.0
