author_id,display_name,name_alternatives,n_name_alternatives,first_year,latest_year,career_length,works_count,n_distinct_institutions,top_institutions,n_topics_listed,top_topics,openalex_url,sample_freq,flagged
A5024431163,B. Krug,"[""B Krug"", ""B. Krug"", ""B.\u00a0Krug"", ""BARBARA KRUG"", ""Barbara Krug""]",6,1986,2025,39,128,10,"[""Landesinstitut f\u00fcr Arbeitsgestaltung des Landes Nordrhein-Westfalen"", ""Deutsche Forschungsgemeinschaft"", ""D\u00fcsseldorf University Hospital""]",5,"[""Advanced MRI Techniques and Applications"", ""MRI in cancer diagnosis"", ""Advanced X-ray and CT Imaging""]",https://openalex.org/A5024431163,1,False
A5103349893,Lewis Jones,"[""Lewis Jones"", ""Lewis R. Jones""]",2,1990,2023,33,23,4,"[""Royal Observatory in Greenwich"", ""London Metropolitan University"", ""Jet Propulsion Laboratory""]",5,"[""Astronomy and Astrophysical Research"", ""Astronomical Observations and Instrumentation"", ""Adaptive optics and wavefront sensing""]",https://openalex.org/A5103349893,2,False
A5063209659,A.F.S. Taylor,"[""A.F.S. Taylor"", ""Taylor, A.F.S.""]",2,2000,2026,26,370568,1,"[""James Hutton Institute""]",3,"[""Mycorrhizal Fungi and Plant Interactions"", ""Botany and Plant Ecology Studies"", ""Forest Ecology and Biodiversity Studies""]",https://openalex.org/A5063209659,19,False
A5042772981,纪敏,"[""\u7eaa\u654f""]",1,1987,2016,29,39,0,[],5,"[""Legal and Regulatory Analysis"", ""Linguistic, Cultural, and Literary Studies"", ""Military Technology and Strategies""]",https://openalex.org/A5042772981,1,False
A5084364688,F. van der Tak,"[""DER TAK, F. Van"", ""F van der Tak"", ""F. F. S. Van der Tak"", ""F. F. S. van der Tak"", ""F. Van der Tak""]",20,1972,2026,54,291,17,"[""University of Groningen"", ""Max Planck Institute for Radio Astronomy"", ""Leiden Observatory""]",5,"[""Astrophysics and Star Formation Studies"", ""Stellar, planetary, and galactic studies"", ""Molecular Spectroscopy and Structure""]",https://openalex.org/A5084364688,1,False
A5089478931,E. V. Ferapontov,"[""E V Ferapontov"", ""E. Ferapontov"", ""E. V. FERAPONTOV"", ""E. V. Ferapontov"", ""E.V Ferapontov""]",17,1989,2025,36,149,13,"[""Ufa Institute of Chemistry"", ""Keldysh Institute of Applied Mathematics"", ""Russian Academy of Sciences""]",5,"[""Nonlinear Waves and Solitons"", ""Geometric Analysis and Curvature Flows"", ""Geometry and complex manifolds""]",https://openalex.org/A5089478931,1,False
A5053326676,B. Kaune,"[""B Kaune"", ""B. Kaune"", ""Brigitte Kaune"", ""Kaune, B"", ""Kaune, B.""]",6,2014,2025,11,46,6,"[""Max Planck Institute for Gravitational Physics"", ""Istituto Nazionale di Fisica Nucleare, Trento Institute for Fundamental Physics And Applications"", ""Laser Zentrum Hannover""]",5,"[""Pulsars and Gravitational Waves Research"", ""Radio Astronomy Observations and Technology"", ""Geophysics and Gravity Measurements""]",https://openalex.org/A5053326676,1,False
A5100658586,Mingxing Wang,"[""Jan Lazur"", ""Ming-Xing Wang"", ""Ming-xing Wang"", ""Mingxing Wang"", ""Ming\u2010Xing Wang""]",5,2004,2026,22,128,56,"[""Nanjing Medical University"", ""Collaborative Research Group"", ""Anhui Medical University""]",5,"[""Fungal Biology and Applications"", ""Polysaccharides and Plant Cell Walls"", ""Pharmacological Effects of Natural Compounds""]",https://openalex.org/A5100658586,1,False
A5122080654,Karl-Henrik Larsson,"[""Karl-Henrik Larsson"", ""Larsson, Karl-Henrik""]",2,2024,2026,2,127205,0,[],0,[],https://openalex.org/A5122080654,6,False
A5040095739,Yves Schabes,"[""Schabes, Yves"", ""Y. Schabes"", ""Yves Schabes""]",3,1988,1997,9,55,6,"[""William Penn University"", ""University of Pennsylvania"", ""Mitsubishi Electric (United States)""]",5,"[""Natural Language Processing Techniques"", ""Topic Modeling"", ""semigroups and automata theory""]",https://openalex.org/A5040095739,1,False
A5076609351,Nayana Shenvi,"[""Nayana Shenvi""]",1,2014,2023,9,13,3,"[""Goa University"", ""Indian Institute of Technology Goa"", ""Innovative Research (United States)""]",5,"[""Ionosphere and magnetosphere dynamics"", ""Earthquake Detection and Analysis"", ""Geomagnetism and Paleomagnetism Studies""]",https://openalex.org/A5076609351,1,False
