subfield,year,rank,work_id,title,authors_top3,concepts_top3,abstract_preview,primary_source
operating systems,1975,1,https://openalex.org/W158727920,Judgment under Uncertainty: Heuristics and Biases,Amos Tversky; Daniel Kahneman,Representativeness heuristic (0.95); Heuristics (0.95); Class (philosophy) (0.61),,
operating systems,1975,2,https://openalex.org/W2165612380,A vector space model for automatic indexing,Gerard Salton; Anita M.-Y. Wong; Chul‐Su Yang,Search engine indexing (0.94); Vector space model (0.81); Computer science (0.69),"In a document retrieval, or other pattern matching environment where stored entities (documents) are compared with each other or with incoming patterns (search requests), it appears that the best indexing (property) space is one where each entity lies as far away from the others as possible; in thes...",Communications of the ACM
operating systems,1975,3,https://openalex.org/W2162897826,Dropout from Higher Education: A Theoretical Synthesis of Recent Research,Vincent Tinto,Dropout (neural networks) (0.89); Psychology (0.55); Process (computing) (0.50),"Despite the very extensive literature on dropout from higher education, much remains unknown about the nature of the dropout process. In large measure, the failure of past research to delineate more clearly the multiple characteristics of dropout can be traced to two major shortcomings; namely, inad...",Review of Educational Research
operating systems,1975,4,https://openalex.org/W2043769961,The Wire-Tap Channel,A.D. Wyner,Decoding methods (0.72); Transmitter (0.67); Channel (broadcasting) (0.65),"We consider the situation in which digital data is to be reliably transmitted over a discrete, memoryless channel (dmc) that is subjected to a wire-tap at the receiver. We assume that the wire-tapper views the channel output via a second dmc). Encoding by the transmitter and decoding by the receiver...",Bell System Technical Journal
operating systems,1975,5,https://openalex.org/W2016417523,Intracellular Aspects of the Process of Protein Synthesis,George E. Palade,Intracellular (0.72); Process (computing) (0.54); Chemistry (0.43),"The title of the Nobel Lecture of George Palade (1 August, p. 347) should have been ""Intracellular aspects of the process of protein secretion.""",Science
operating systems,1975,6,https://openalex.org/W1979505044,A dynamic model of process and product innovation,James M. Utterback; William J. Abernathy,Competition (biology) (0.63); Process (computing) (0.62); Production (economics) (0.61),,Omega
operating systems,1975,7,https://openalex.org/W2164540423,"Congress: The Electoral Connection, <i>by David R. Mayhew</i>",Benjamin I. Page,Principal (computer security) (0.68); Political science (0.61); Test (biology) (0.57),"In this second edition to a book that has now achieved canonical status, David R. Mayhew argues that the principal motivation of legislators is reelection and that the pursuit of this goal affects the way they behave and the way that they make public policy. In a new foreword for this edition, R. Do...",Political Science Quarterly
operating systems,1975,8,https://openalex.org/W2095881341,The protection of information in computer systems,Jerome H. Saltzer; Michael Schroeder,Section (typography) (0.76); Computer science (0.67); Relation (database) (0.65),This tutorial paper explores the mechanics of protecting computer-stored information from unauthorized use or modification. It concentrates on those architectural structures-whether hardware or software-that are necessary to support information protection. The paper develops in three main sections. ...,Proceedings of the IEEE
operating systems,1975,9,https://openalex.org/W1530109122,The Development of Spatial Representations of Large-Scale Environments,Alexander W. Siegel; Sheldon H. White,Representation (politics) (0.75); Cognitive science (0.54); Perception (0.51),,Advances in child development and behavior
operating systems,1975,10,https://openalex.org/W2322912111,International Committee on Systematic Bacteriology: Subcommittee on the Phage-Typing of Staphylococci,E. H. ASHESHOV; R Skalova,Bacteriology (0.60); Principal (computer security) (0.53); Clinical microbiology (0.46),"Microbiology Society journals contain high-quality research papers and topical review articles. We are a not-for-profit publisher and we support and invest in the microbiology community, to the benefit of everyone. This supports our principal goal to develop, expand and strengthen the networks avail...",International Journal of Systematic Bacteriology
