stratum,n,n_with_abstract,coverage,stratum_type
ID,112,111,0.9910714285714286,country
CN,945,698,0.7386243386243386,country
BR,116,80,0.6896551724137931,country
CA,278,185,0.6654676258992805,country
US,2997,1957,0.6529863196529864,country
JP,643,419,0.6516329704510109,country
FR,389,249,0.6401028277634961,country
KR,121,76,0.628099173553719,country
SE,94,59,0.6276595744680851,country
IN,338,212,0.6272189349112426,country
ES,147,92,0.6258503401360545,country
GB,622,388,0.6237942122186495,country
IL,65,40,0.6153846153846154,country
CH,87,51,0.5862068965517241,country
AU,187,104,0.5561497326203209,country
DK,54,30,0.5555555555555556,country
IT,254,141,0.5551181102362205,country
TW,81,44,0.5432098765432098,country
DE,573,304,0.5305410122164049,country
CZ,51,27,0.5294117647058824,country
RU,280,146,0.5214285714285715,country
PL,112,57,0.5089285714285714,country
NL,136,67,0.49264705882352944,country
BE,65,31,0.47692307692307695,country
UNKNOWN,12174,5003,0.41095777887300805,country
C24326235,173,154,0.8901734104046243,concept
C171146098,81,66,0.8148148148148148,concept
C27206212,56,44,0.7857142857142857,concept
C15708023,528,412,0.7803030303030303,concept
C42475967,51,39,0.7647058823529411,concept
C31258907,100,75,0.75,concept
C56739046,64,47,0.734375,concept
C22212356,59,43,0.7288135593220338,concept
C78519656,121,88,0.7272727272727273,concept
C11413529,282,201,0.7127659574468085,concept
C107457646,50,35,0.7,concept
C39549134,76,53,0.6973684210526315,concept
C141071460,59,41,0.6949152542372882,concept
C187320778,51,35,0.6862745098039216,concept
C119599485,229,156,0.6812227074235808,concept
C199289684,53,36,0.6792452830188679,concept
C49040817,313,212,0.6773162939297125,concept
C200601418,89,60,0.6741573033707865,concept
C66938386,155,104,0.6709677419354839,concept
C171250308,100,67,0.67,concept
C120665830,754,498,0.6604774535809018,concept
C124952713,56,36,0.6428571428571429,concept
C145420912,235,149,0.6340425531914894,concept
C154945302,482,305,0.6327800829875518,concept
C121684516,70,44,0.6285714285714286,concept
C126255220,120,75,0.625,concept
C109214941,114,71,0.6228070175438597,concept
C178790620,53,33,0.6226415094339622,concept
C159467904,79,49,0.620253164556962,concept
C180747234,57,35,0.6140350877192983,concept
C21880701,57,35,0.6140350877192983,concept
C134306372,223,135,0.6053811659192825,concept
C8010536,293,177,0.6040955631399317,concept
C31972630,107,64,0.5981308411214953,concept
C38652104,94,56,0.5957446808510638,concept
C77805123,89,53,0.5955056179775281,concept
C44870925,260,153,0.5884615384615385,concept
C24890656,305,179,0.5868852459016394,concept
C26873012,421,247,0.5866983372921615,concept
C133731056,111,65,0.5855855855855856,concept
C199539241,154,90,0.5844155844155844,concept
C111472728,112,65,0.5803571428571429,concept
C23123220,269,155,0.5762081784386617,concept
C18903297,63,36,0.5714285714285714,concept
C184779094,393,224,0.5699745547073791,concept
C146978453,58,33,0.5689655172413793,concept
C153911025,51,29,0.5686274509803921,concept
C57879066,484,275,0.5681818181818182,concept
C116915560,108,61,0.5648148148148148,concept
C126322002,137,77,0.5620437956204379,concept
C159985019,225,126,0.56,concept
C75473681,98,54,0.5510204081632653,concept
C76155785,120,66,0.55,concept
C91586092,71,39,0.5492957746478874,concept
C28826006,188,103,0.5478723404255319,concept
C43617362,110,60,0.5454545454545454,concept
C114614502,133,72,0.5413533834586466,concept
C199360897,113,61,0.5398230088495575,concept
C33332235,95,51,0.5368421052631579,concept
C111919701,71,38,0.5352112676056338,concept
C41895202,164,87,0.5304878048780488,concept
C42360764,106,56,0.5283018867924528,concept
C121864883,200,105,0.525,concept
C509550671,63,33,0.5238095238095238,concept
C136764020,308,160,0.5194805194805194,concept
C153294291,139,72,0.5179856115107914,concept
C105795698,135,68,0.5037037037037037,concept
C202444582,148,74,0.5,concept
C178802073,54,27,0.5,concept
C191897082,124,62,0.5,concept
C52119013,54,27,0.5,concept
C37914503,99,49,0.494949494949495,concept
C2522767166,98,48,0.4897959183673469,concept
C13280743,56,27,0.48214285714285715,concept
C62520636,176,84,0.4772727272727273,concept
C46141821,78,37,0.47435897435897434,concept
C62649853,145,67,0.46206896551724136,concept
C77088390,59,27,0.4576271186440678,concept
C74650414,86,39,0.45348837209302323,concept
C169760540,69,31,0.4492753623188406,concept
C97355855,310,139,0.4483870967741935,concept
C149782125,77,34,0.44155844155844154,concept
C12554922,67,29,0.43283582089552236,concept
C2524010,81,32,0.3950617283950617,concept
C177322064,78,30,0.38461538461538464,concept
C70721500,50,19,0.38,concept
C179104552,77,29,0.37662337662337664,concept
C161191863,683,231,0.33821376281112736,concept
C185544564,172,52,0.3023255813953488,concept
C55493867,55,14,0.2545454545454545,concept
C87355193,163,34,0.2085889570552147,concept
UNKNOWN,3583,737,0.2056935528886408,concept
C1276947,148,30,0.20270270270270271,concept
report,163,142,0.8711656441717791,type
preprint,441,373,0.8458049886621315,type
dissertation,486,358,0.7366255144032922,type
dataset,326,203,0.6226993865030674,type
other,201,112,0.5572139303482587,type
article,17895,9476,0.5295333892148645,type
review,122,58,0.47540983606557374,type
letter,59,22,0.3728813559322034,type
book,331,118,0.3564954682779456,type
paratext,309,73,0.23624595469255663,type
book-chapter,1428,281,0.19677871148459383,type
libguides,77,13,0.16883116883116883,type
