id,title,publication_year,abstract_n_tokens,suspicious_extras_found
https://openalex.org/W658166333,The Good Housekeeping step-by-step cookbook.,1980,57,[]
https://openalex.org/W2336715165,Synthetic applications and mechanism of the pyrolysis of phenothiazine carbamates,1980,192,[]
https://openalex.org/W1982072988,An acoustic sensitivity study of general aviation propellers,1980,94,[]
https://openalex.org/W2033203077,Economic Evaluation of the Acetone-Butanol Fermentation,1980,185,[]
https://openalex.org/W211119731,"Documentation of Design, Performance, and Qualification of the SES Wave Profiling System,",1980,66,[]
https://openalex.org/W4232704383,EIW volume 23 issue 8 Cover and Back matter,1980,32,[]
https://openalex.org/W1615679785,Results of Basic Improvements to the Extraction of Spectra from IUE Images,1980,112,[]
https://openalex.org/W2134331695,Internal Sorting Using a Minimal Tree Merge Strategy,1980,190,[]
https://openalex.org/W2029877449,Convenient syntheses of methyl diformylacetate,1980,186,[]
https://openalex.org/W4244610378,Subject Index to Volume 29,1980,32,[]
https://openalex.org/W4237809246,EG&amp;G Princeton Applied Research Corporation,1980,176,[]
https://openalex.org/W649376826,Final Report of the Software Acquisition and Development Working Group,1980,149,[]
https://openalex.org/W4240627206,Outlook,1980,172,[]
https://openalex.org/W1969783922,Effect of .gamma. irradiation and storage conditions on amino acid composition of some Iraqi dates,1980,191,[]
https://openalex.org/W855544105,BETTER CONTROL OF CONTAINERS,1980,104,[]
https://openalex.org/W623337412,OBSERVATIONS OF ROUTES CHOSEN AND INSTRUCTION GIVEN DURING DRIVING LESSONS,1980,207,[]
https://openalex.org/W2092303899,A new universal GPC calibration method,1980,64,[]
https://openalex.org/W2146598359,"Approximations for Customer-Viewed Delays in Multiprogrammed, Transaction-Oriented Computer Systems",1980,250,[]
https://openalex.org/W1749677193,Teaching about learning in a consultation.,1980,33,[]
https://openalex.org/W3013112461,"Fast updates of balanced trees, with a guaranteed time bound per update",1980,123,[]
https://openalex.org/W2113163568,Statistics of Wire Lengths on Circuit Boards,1980,72,[]
https://openalex.org/W309461794,Software Features Applicable to Inertial Measurement Unit Self-Alignment.,1980,32,[]
https://openalex.org/W245919541,PROGTEST: A Computer System for the Analysis of Computational Computer Programs.,1980,88,[]
https://openalex.org/W2418083601,Analytical instrumentation in toxicology.,1980,112,[]
https://openalex.org/W2082328131,Irreversible reaction of nitromethane at elevated pressure and temperature,1980,181,[]
https://openalex.org/W4248892828,Masthead,1980,116,[]
https://openalex.org/W2087691540,Experimental considerations in implementing a whole body multiple sensitive point nuclear magnetic resonance imaging system,1980,68,[]
https://openalex.org/W2048817288,Analog signal processing: Digital or linear VLSI?,1980,67,[]
https://openalex.org/W4233176677,People,1980,172,[]
https://openalex.org/W13926086,Predicting crack propagation,1980,50,[]
https://openalex.org/W2303601254,Safety Accomplishments on Agricultural Equipment,1980,76,[]
https://openalex.org/W97906980,Beyond CAD to Computer Aided Engineering.,1980,108,[]
https://openalex.org/W4243195953,Derivative measures,1980,179,[]
https://openalex.org/W4240943070,The Tilt Policy Revisited: Nixon-Kissinger Geopolitics and South Asia,1980,162,[]
https://openalex.org/W2092231269,Atomic absorption spectrometry with a photodiode array spectrometer,1980,187,[]
https://openalex.org/W2039135762,Dr. Wolja Saraga,1980,169,[]
https://openalex.org/W4248085898,Proceedings of the 7th ACM SIGPLAN-SIGACT symposium on Principles of programming languages - POPL '80,1980,42,[]
https://openalex.org/W568524033,TIME TO TAKE A STEP FORWARD,1980,93,[]
https://openalex.org/W2090647439,Optical Design of Solar Concentrators,1980,75,[]
https://openalex.org/W1964655143,One-variable equational compactness in partially distributive semilattices with pseudocomplementation,1980,265,[]
https://openalex.org/W4244985201,On the Robustness of Combined Tests for Trends in Proportions,1980,94,[]
https://openalex.org/W2463975136,Board takes action in quality assurance role.,1980,23,[]
https://openalex.org/W2312512601,"Review: <i>The Urban West at the End of the Frontier</i>, by Lawrence H. Larsen",1980,184,[]
https://openalex.org/W4205688711,Breast cancer test helps determine therapy,1980,178,[]
https://openalex.org/W4236330723,"Shippingport Atomic Power Station (PWR). Technical progress report, July 26, 1979-January 25, 1980",1980,84,[]
https://openalex.org/W2065327409,On-Line Blood and Respiratory Gas Analysis,1980,195,[]
https://openalex.org/W4244814233,Abstract data types and Data Bases,1980,31,[]
https://openalex.org/W2291147509,New Methods for Determining the Thermal Rating of Overhead Lines,1980,45,[]
https://openalex.org/W2325254474,CTOL/VSTOL comparison - A view from the deck,1980,129,[]
https://openalex.org/W1605130978,Extended critical values of extreme studentized deviate test statistics for detecting multiple outliers,1980,85,[]
